Iteracao,c1_0_c2_1,c1_1_c2_0,c1_1_c2_1,c1_1_c2_01,c1_2_c2_2,c1_4_c2_4
1,8.54855662,8.54855662,8.54855662,8.54855662,6.46623403,8.54855662
2,3.41201860,8.54855662,6.07755266,5.70136390,3.56642889,7.27288276
3,3.41201860,4.89936368,6.07755266,3.09931519,1.08745941,4.06690069
4,3.41201860,4.89936368,6.07755266,3.09931519,1.08745941,0.00000000
5,3.41201860,4.89936368,6.07755266,3.09931519,1.08745941,0.00000000
6,3.41201860,4.89936368,3.62561682,3.09931519,1.08745941,0.00000000
7,3.41201860,4.89936368,2.58023917,3.09931519,0.00000000,0.00000000
8,3.41201860,4.43683643,2.58023917,3.09931519,0.00000000,0.00000000
9,3.41201860,4.43683643,2.58023917,3.09931519,0.00000000,0.00000000
10,3.41201860,4.43683643,2.58023917,3.09931519,0.00000000,0.00000000
11,3.41201860,4.43683643,1.59798426,3.09931519,0.00000000,0.00000000
12,3.41201860,4.43683643,1.19401881,3.09931519,0.00000000,0.00000000
13,1.31272237,2.16847182,1.18903922,3.09931519,0.00000000,0.00000000
14,1.31272237,2.16847182,1.18903922,3.09931519,0.00000000,0.00000000
15,1.31272237,2.16847182,1.18903922,3.09931519,0.00000000,0.00000000
16,1.31272237,2.16847182,1.16256461,3.09931519,0.00000000,0.00000000
17,1.31272237,2.16847182,1.16256461,3.09931519,0.00000000,0.00000000
18,1.31272237,0.60775750,1.16256461,3.09931519,0.00000000,0.00000000
19,1.31272237,0.60775750,1.16256461,2.54603742,0.00000000,0.00000000
20,0.32005139,0.60775750,1.16256461,2.54603742,0.00000000,0.00000000
21,0.32005139,0.60775750,1.16256461,2.54603742,0.00000000,0.00000000
22,0.32005139,0.60775750,1.16256461,1.42468984,0.00000000,0.00000000
23,0.32005139,0.60775750,1.16256461,1.18453487,0.00000000,0.00000000
24,0.32005139,0.60775750,1.16256461,1.18453487,0.00000000,0.00000000
25,0.32005139,0.60775750,1.16256461,1.18453487,0.00000000,0.00000000
