Iteracao,Particula,X0,X1
1,1,-1.940690,-3.521113
1,2,-5.120000,2.333534
1,3,-0.922252,-4.910565
1,4,-1.667863,-3.270183
1,5,-4.105840,3.732498
1,6,-4.279693,-1.876697
1,7,3.316352,-2.374491
1,8,0.182274,2.120181
1,9,-5.120000,-0.974688
1,10,-1.757576,3.193773
1,11,1.222563,-5.120000
1,12,-1.903294,-2.269716
1,13,-0.002910,-0.623894
1,14,-5.120000,1.215386
1,15,-5.120000,3.210954
1,16,-5.120000,-3.495683
1,17,-2.180468,-4.633278
1,18,-2.093742,-0.356018
1,19,-4.684371,-1.206053
1,20,-5.120000,-2.772554
1,21,5.120000,-1.516931
1,22,-3.213581,-4.511160
1,23,1.922295,-0.530653
1,24,1.678388,3.054936
1,25,-1.236421,2.905105
1,26,-1.253880,-4.105655
1,27,0.817954,-5.120000
1,28,-2.000888,4.634891
1,29,4.286566,0.232728
1,30,5.002623,-2.858057
2,1,-1.994379,-3.155607
2,2,-1.647877,2.278406
2,3,1.207371,-5.120000
2,4,-2.213742,-3.914452
2,5,-5.120000,3.651046
2,6,-4.006734,-1.862119
2,7,3.073919,-0.031220
2,8,3.420948,2.131389
2,9,-0.581470,-0.827674
2,10,-5.120000,5.120000
2,11,-0.079747,-1.130712
2,12,0.625548,-5.120000
2,13,2.285280,0.703231
2,14,-0.555778,1.293904
2,15,-4.026000,3.941659
2,16,0.000000,-3.347732
2,17,-0.137079,-4.619306
2,18,0.576220,-0.149884
2,19,-5.120000,-1.679676
2,20,-1.400001,-5.120000
2,21,0.463235,-2.254339
2,22,-4.521718,-5.049456
2,23,4.070118,-1.361605
2,24,3.003058,4.731545
2,25,2.080402,1.146667
2,26,-4.189059,-4.031884
2,27,3.014112,-2.149217
2,28,-1.204255,5.120000
2,29,3.998281,-1.247851
2,30,5.120000,-5.120000
3,1,-1.980013,-2.808224
3,2,1.540400,2.035330
3,3,2.726248,-3.680223
3,4,-2.449905,-2.721944
3,5,-0.382342,2.824481
3,6,-3.528866,-1.791193
3,7,2.686487,2.054175
3,8,4.162018,1.878783
3,9,2.116278,-1.741491
3,10,0.000000,1.692545
3,11,-1.238802,2.419754
3,12,1.194067,0.000000
3,13,2.337481,0.762486
3,14,1.050983,1.044845
3,15,-2.914818,4.487593
3,16,4.653326,-3.189759
3,17,1.722823,-4.386221
3,18,2.721593,0.111904
3,19,-0.038161,-1.795634
3,20,-0.454333,-1.322761
3,21,-3.674490,-2.757451
3,22,-3.186457,-1.422788
3,23,5.088559,-1.552126
3,24,1.473876,4.811325
3,25,4.941614,-0.421552
3,26,-5.069591,-3.549949
3,27,4.806021,0.762415
3,28,-1.632149,2.249156
3,29,3.558564,-2.460170
3,30,1.571847,-0.035787
4,1,-1.924780,-2.458647
4,2,4.336921,1.773804
4,3,1.545431,-2.811491
4,4,-1.488129,-0.096063
4,5,4.010589,2.155077
4,6,-3.093321,-1.684595
4,7,2.533319,2.811667
4,8,2.849815,1.642681
4,9,4.431165,-2.522668
4,10,4.607013,-1.375849
4,11,-1.485963,4.932475
4,12,1.690410,4.565344
4,13,0.800451,0.586249
4,14,2.472967,0.824428
4,15,-1.880679,4.464796
4,16,5.120000,-2.691280
4,17,3.279470,-3.948302
4,18,4.476381,0.396161
4,19,4.553765,-1.862840
4,20,0.427276,2.101565
4,21,-5.120000,-3.018619
4,22,1.103393,1.858024
4,23,4.085814,-0.669418
4,24,-1.164656,2.880986
4,25,4.650546,-0.872974
4,26,0.050409,-2.992359
4,27,5.120000,1.651210
4,28,-2.058500,-0.899674
4,29,3.410879,-2.238378
4,30,-1.614289,4.508629
5,1,-1.770215,-2.157736
5,2,3.911365,1.567549
5,3,-0.386631,-2.150651
5,4,0.459225,1.830310
5,5,5.097587,2.542121
5,6,-2.647252,-1.470749
5,7,2.519104,0.692628
5,8,-0.217351,1.833789
5,9,5.120000,-2.763430
5,10,5.120000,-1.364934
5,11,-1.093187,2.195950
5,12,1.660890,5.120000
5,13,-1.124221,0.230739
5,14,2.334059,0.722391
5,15,-1.747203,4.099553
5,16,0.000000,-2.462839
5,17,4.623898,-3.294167
5,18,4.585246,0.518620
5,19,5.120000,-1.623576
5,20,1.204742,5.014432
5,21,0.000000,-2.807467
5,22,4.877940,4.671600
5,23,1.192451,0.409618
5,24,-3.909366,0.615532
5,25,3.274116,0.508503
5,26,4.622933,-2.187361
5,27,3.846411,1.932952
5,28,-2.281352,-3.586768
5,29,3.179814,-1.752957
5,30,-2.917854,5.120000
6,1,-1.435645,-2.142078
6,2,1.021019,1.676895
6,3,-2.051885,-1.457499
6,4,2.125128,3.407289
6,5,3.684668,2.813500
6,6,-3.474774,-1.347243
6,7,2.913971,-1.764223
6,8,-2.660720,1.951905
6,9,0.956702,-2.134685
6,10,0.000000,1.158791
6,11,-0.570691,-2.924050
6,12,1.577322,1.406470
6,13,-2.774504,-0.026230
6,14,1.329861,0.693536
6,15,-1.511648,3.635760
6,16,-4.401185,-1.974809
6,17,5.120000,-2.889882
6,18,4.221081,0.570621
6,19,0.000000,-1.320807
6,20,1.523267,5.120000
6,21,4.543448,-2.463624
6,22,5.120000,5.120000
6,23,-0.906766,0.584733
6,24,-5.120000,-1.121443
